Ecorr_400,i_400,Ecorr_493,i_493,Ecorr_625,i_625,Ecorr_816,i_816,Ecorr_1111,i_1111,Ecorr_1600,i_1600,Ecorr_2500,i_2500,Ecorr_3600,i_3600
0.331467367,0.111277,0.331485446,0.05817623,0.331487189,0.1106655,0.331455615,0.09795524,0.331691739,0.1445277,0.331699134,0.1372851,0.331696681,0.1534842,0.331661138,0.2024323
0.332459422,0.1108848,0.332447381,0.05863432,0.332465471,0.1127118,0.332457788,0.09886941,0.332671867,0.14493,0.332661308,0.1378996,0.332679886,0.1522241,0.332668907,0.2002352
0.333446218,0.1114262,0.333456661,0.05840648,0.333456996,0.1119183,0.333439481,0.09839482,0.333707846,0.1450026,0.333665347,0.1376364,0.333718128,0.1518995,0.333693261,0.2039155
0.334467568,0.1121751,0.334468748,0.05907323,0.334480147,0.1123074,0.334458311,0.09771808,0.334703468,0.1452887,0.334671395,0.1383264,0.334692323,0.151124,0.334639862,0.2040948
0.335452571,0.1097181,0.335483856,0.05834976,0.335481634,0.1115962,0.335455,0.1000596,0.335679322,0.144298,0.335649772,0.139418,0.335677472,0.1525317,0.335647042,0.2021304
0.336457366,0.1098405,0.336458683,0.0581536,0.336466341,0.11267,0.336444049,0.09943171,0.336687432,0.1454898,0.336667332,0.1365079,0.336708965,0.153853,0.336668051,0.2036823
0.337465758,0.1101451,0.337482295,0.05862574,0.337475295,0.1129374,0.337468083,0.09929136,0.337679291,0.1460534,0.337679644,0.1366201,0.33767926,0.1521797,0.337647609,0.2028691
0.338439693,0.1117408,0.338454736,0.05884081,0.338482809,0.1119109,0.338462606,0.09993643,0.338672905,0.1447278,0.338652807,0.1384991,0.338665607,0.1516724,0.338641029,0.2021984
0.339462567,0.1107985,0.339462592,0.05952558,0.339470356,0.1117028,0.339455191,0.09928711,0.339714644,0.145303,0.339683996,0.1350323,0.339701206,0.1526312,0.339687591,0.1996464
0.340452796,0.1120385,0.340467666,0.05918199,0.340484809,0.1111326,0.340451796,0.09976262,0.340696676,0.1451043,0.34069729,0.1371919,0.340672777,0.1528279,0.340671737,0.1989001
0.341456857,0.1111035,0.341494781,0.05827481,0.34148162,0.1147186,0.341477904,0.0986201,0.341688532,0.1461487,0.341680361,0.1362511,0.34168452,0.1511257,0.341657188,0.2016838
0.342462486,0.1113256,0.342445555,0.05835008,0.342474247,0.111409,0.342455098,0.09928244,0.342701651,0.1455382,0.342691357,0.1372111,0.342712243,0.1515312,0.342686305,0.2013744
0.343482164,0.1084047,0.343469829,0.05896456,0.343478964,0.113255,0.343451162,0.1012202,0.343694895,0.1465898,0.343702778,0.1372585,0.343694704,0.1517943,0.343637082,0.2070168
0.344467413,0.1102914,0.344456717,0.05921121,0.344504517,0.1134029,0.34447485,0.0987726,0.344700698,0.1450313,0.344682496,0.1373075,0.344706579,0.1515097,0.344702313,0.1953214
0.345444766,0.1107391,0.345452924,0.0592071,0.345474373,0.1135494,0.345455464,0.09894379,0.345519924,0.3510633,0.345694979,0.138396,0.345733642,0.1524896,0.345708493,0.1971297
0.346443352,0.110388,0.346449628,0.05950448,0.346479418,0.1125642,0.346442225,0.09872757,0.346805227,0.1607025,0.34670098,0.1374374,0.346703777,0.1507326,0.346682254,0.1942791
0.347461777,0.1127683,0.347483566,0.05894241,0.347492354,0.1124824,0.347470373,0.09887818,0.347785553,0.1446989,0.347672499,0.137665,0.347727407,0.1495765,0.347707627,0.1930376
0.348444858,0.1142766,0.348434352,0.05811272,0.348475249,0.1120065,0.348455045,0.09697888,0.348786802,0.143292,0.348710749,0.137396,0.348770251,0.1517061,0.348742038,0.1945284
